name,sixth_median,sixth_stddev,gcc_median,gcc_stddev,ratio,result
ack,-1,-1,-1,-1,-1,sixth-fail
ackmed,-1,-1,-1,-1,-1,sixth-fail
acksmall,-1,-1,-1,-1,-1,sixth-fail
adler32,-1,-1,-1,-1,-1,sixth-fail
againloop,-1,-1,-1,-1,-1,sixth-fail
alias1,-1,-1,-1,-1,-1,sixth-fail
alias2,-1,-1,-1,-1,-1,sixth-fail
arith,-1,-1,-1,-1,-1,sixth-fail
avlinsert,-1,-1,-1,-1,-1,sixth-fail
bellman,-1,-1,-1,-1,-1,sixth-fail
bfs,-1,-1,-1,-1,-1,sixth-fail
binarysearch,-1,-1,-1,-1,-1,sixth-fail
binsearch,-1,-1,-1,-1,-1,sixth-fail
binsplit,-1,-1,-1,-1,-1,sixth-fail
bitrev,-1,-1,-1,-1,-1,sixth-fail
bitscan,-1,-1,-1,-1,-1,output-fail
branch1,-1,-1,-1,-1,-1,output-fail
branch2,-1,-1,-1,-1,-1,output-fail
bstdelete,-1,-1,-1,-1,-1,sixth-fail
bstfind,-1,-1,-1,-1,-1,sixth-fail
bstinsert,-1,-1,-1,-1,-1,sixth-fail
bubblesort,-1,-1,-1,-1,-1,sixth-fail
bucketsort,-1,-1,-1,-1,-1,sixth-fail
bytesum,-1,-1,-1,-1,-1,output-fail
caesar,-1,-1,-1,-1,-1,output-fail
call,-1,-1,-1,-1,-1,output-fail
catalan,-1,-1,-1,-1,-1,output-fail
cmp,-1,-1,-1,-1,-1,output-fail
collatz,-1,-1,-1,-1,-1,output-fail
combine,-1,-1,-1,-1,-1,output-fail
constprop1,-1,-1,-1,-1,-1,output-fail
constprop2,-1,-1,-1,-1,-1,output-fail
countdown,-1,-1,-1,-1,-1,output-fail
countingsort,-1,-1,-1,-1,-1,sixth-fail
countup,-1,-1,-1,-1,-1,output-fail
crc32,-1,-1,-1,-1,-1,sixth-fail
crosssum,-1,-1,-1,-1,-1,output-fail
crt,-1,-1,-1,-1,-1,sixth-fail
cse1,-1,-1,-1,-1,-1,output-fail
cse2,-1,-1,-1,-1,-1,output-fail
ctrl,-1,-1,-1,-1,-1,output-fail
deadcode1,-1,-1,-1,-1,-1,output-fail
deadcode2,-1,-1,-1,-1,-1,output-fail
deep,-1,-1,-1,-1,-1,output-fail
depth1,-1,-1,-1,-1,-1,output-fail
depth2,-1,-1,-1,-1,-1,output-fail
depth3,-1,-1,-1,-1,-1,output-fail
depth4,-1,-1,-1,-1,-1,output-fail
depth5,-1,-1,-1,-1,-1,output-fail
depth6,-1,-1,-1,-1,-1,output-fail
depth7,-1,-1,-1,-1,-1,output-fail
depth8,-1,-1,-1,-1,-1,sixth-fail
depthvar,-1,-1,-1,-1,-1,output-fail
dfs,-1,-1,-1,-1,-1,sixth-fail
dijkstra,-1,-1,-1,-1,-1,sixth-fail
