name,sixth_median,sixth_stddev,gcc_median,gcc_stddev,ratio,result
abundant,-1,-1,-1,-1,-1,output-fail
ack,3.71309,0.0485358,0.700436,0.0113084,5.3011,LOSS
ackmed,-1,-1,-1,-1,-1,output-fail
acksmall,-1,-1,-1,-1,-1,output-fail
adler32,-1,-1,-1,-1,-1,output-fail
againloop,-1,-1,-1,-1,-1,output-fail
alias1,-1,-1,-1,-1,-1,output-fail
alias2,-1,-1,-1,-1,-1,output-fail
amicable,-1,-1,-1,-1,-1,output-fail
arith,-1,-1,-1,-1,-1,output-fail
avlinsert,-1,-1,-1,-1,-1,sixth-fail
bellman,-1,-1,-1,-1,-1,sixth-fail
bfs,-1,-1,-1,-1,-1,sixth-fail
binarysearch,-1,-1,-1,-1,-1,sixth-fail
binsearch,-1,-1,-1,-1,-1,sixth-fail
binsplit,-1,-1,-1,-1,-1,output-fail
bitrev,-1,-1,-1,-1,-1,output-fail
bitscan,-1,-1,-1,-1,-1,output-fail
branch1,-1,-1,-1,-1,-1,output-fail
branch2,-1,-1,-1,-1,-1,output-fail
bstdelete,-1,-1,-1,-1,-1,sixth-fail
bstfind,-1,-1,-1,-1,-1,sixth-fail
bstinsert,-1,-1,-1,-1,-1,sixth-fail
bubblesort,-1,-1,-1,-1,-1,sixth-fail
bucketsort,-1,-1,-1,-1,-1,sixth-fail
bytesum,-1,-1,-1,-1,-1,output-fail
caesar,-1,-1,-1,-1,-1,output-fail
call,-1,-1,-1,-1,-1,output-fail
catalan,-1,-1,-1,-1,-1,output-fail
cmp,-1,-1,-1,-1,-1,output-fail
collatz,-1,-1,-1,-1,-1,output-fail
combine,-1,-1,-1,-1,-1,output-fail
constprop1,-1,-1,-1,-1,-1,output-fail
constprop2,-1,-1,-1,-1,-1,output-fail
countdown,-1,-1,-1,-1,-1,output-fail
countingsort,-1,-1,-1,-1,-1,sixth-fail
countup,-1,-1,-1,-1,-1,output-fail
crc32,-1,-1,-1,-1,-1,sixth-fail
crosssum,-1,-1,-1,-1,-1,output-fail
crt,-1,-1,-1,-1,-1,output-fail
cse1,-1,-1,-1,-1,-1,output-fail
cse2,-1,-1,-1,-1,-1,output-fail
ctrl,-1,-1,-1,-1,-1,output-fail
deadcode1,-1,-1,-1,-1,-1,output-fail
deadcode2,-1,-1,-1,-1,-1,output-fail
deep,-1,-1,-1,-1,-1,output-fail
depth1,-1,-1,-1,-1,-1,output-fail
depth2,-1,-1,-1,-1,-1,output-fail
depth3,-1,-1,-1,-1,-1,output-fail
depth4,-1,-1,-1,-1,-1,output-fail
depth5,-1,-1,-1,-1,-1,output-fail
depth6,-1,-1,-1,-1,-1,output-fail
depth7,-1,-1,-1,-1,-1,output-fail
depth8,-1,-1,-1,-1,-1,sixth-fail
depthvar,-1,-1,-1,-1,-1,output-fail
dfs,-1,-1,-1,-1,-1,sixth-fail
digitalroot,-1,-1,-1,-1,-1,output-fail
dijkstra,-1,-1,-1,-1,-1,output-fail
doloop1,-1,-1,-1,-1,-1,output-fail
doloop2,-1,-1,-1,-1,-1,output-fail
doloop3,-1,-1,-1,-1,-1,output-fail
doloop4,-1,-1,-1,-1,-1,output-fail
doloop5,-1,-1,-1,-1,-1,output-fail
dotprod,-1,-1,-1,-1,-1,sixth-fail
double,-1,-1,-1,-1,-1,output-fail
dupn,-1,-1,-1,-1,-1,output-fail
factorial,-1,-1,-1,-1,-1,sixth-fail
factors,-1,-1,-1,-1,-1,output-fail
fft,-1,-1,-1,-1,-1,sixth-fail
fib40,-1,-1,-1,-1,-1,output-fail
fibmemo,-1,-1,-1,-1,-1,sixth-fail
fibonacci,-1,-1,-1,-1,-1,output-fail
fibrec,-1,-1,-1,-1,-1,output-fail
fizzbuzz,-1,-1,-1,-1,-1,output-fail
fletcher16,-1,-1,-1,-1,-1,output-fail
floyd,-1,-1,-1,-1,-1,sixth-fail
fold,-1,-1,-1,-1,-1,output-fail
gcd,-1,-1,-1,-1,-1,output-fail
gcdloop,-1,-1,-1,-1,-1,output-fail
graycode,-1,-1,-1,-1,-1,output-fail
hailstone,-1,-1,-1,-1,-1,output-fail
hamming,-1,-1,-1,-1,-1,output-fail
hanoi,-1,-1,-1,-1,-1,output-fail
happy,-1,-1,-1,-1,-1,output-fail
hashprobe,-1,-1,-1,-1,-1,sixth-fail
heapify,-1,-1,-1,-1,-1,sixth-fail
heappop,-1,-1,-1,-1,-1,sixth-fail
heappush,-1,-1,-1,-1,-1,sixth-fail
heapsort,-1,-1,-1,-1,-1,sixth-fail
inline1,-1,-1,-1,-1,-1,output-fail
inline2,-1,-1,-1,-1,-1,output-fail
inline3,-1,-1,-1,-1,-1,output-fail
insertionsort,-1,-1,-1,-1,-1,sixth-fail
interpolsearch,-1,-1,-1,-1,-1,output-fail
isprime,-1,-1,-1,-1,-1,output-fail
issorted,-1,-1,-1,-1,-1,output-fail
jumpsearch,-1,-1,-1,-1,-1,sixth-fail
kmp,-1,-1,-1,-1,-1,sixth-fail
knight,-1,-1,-1,-1,-1,sixth-fail
kolakoski,-1,-1,-1,-1,-1,output-fail
kruskal,-1,-1,-1,-1,-1,sixth-fail
lca,-1,-1,-1,-1,-1,sixth-fail
lcs,-1,-1,-1,-1,-1,output-fail
leapyear,-1,-1,-1,-1,-1,output-fail
leaveloop,-1,-1,-1,-1,-1,output-fail
levenshtein,-1,-1,-1,-1,-1,output-fail
licm1,-1,-1,-1,-1,-1,output-fail
licm2,-1,-1,-1,-1,-1,output-fail
life,-1,-1,-1,-1,-1,output-fail
linsearch,-1,-1,-1,-1,-1,output-fail
lookandsay,-1,-1,-1,-1,-1,output-fail
lucas,-1,-1,-1,-1,-1,output-fail
luhn,-1,-1,-1,-1,-1,output-fail
matmul128,-1,-1,-1,-1,-1,output-fail
